week;date;repository;timestamp;count;uniques
19;2024-05-07;admin-ui;2024-04-22T00:00:00Z;1;1
19;2024-05-07;base-repo;2024-04-22T00:00:00Z;282;4
19;2024-05-07;base-repo;2024-04-29T00:00:00Z;105;5
19;2024-05-07;base-repo;2024-05-06T00:00:00Z;54;6
19;2024-05-07;base-repo-sfb980;2024-04-22T00:00:00Z;31;1
19;2024-05-07;collection-api;2024-04-22T00:00:00Z;2;1
19;2024-05-07;collection-api;2024-04-29T00:00:00Z;5;2
19;2024-05-07;collection-api;2024-05-06T00:00:00Z;2;1
19;2024-05-07;com_mapping-service-input;2024-04-22T00:00:00Z;4;1
19;2024-05-07;com_mapping-service-input;2024-04-29T00:00:00Z;30;1
19;2024-05-07;Data-Collections-Explorer;2024-04-29T00:00:00Z;13;1
19;2024-05-07;FAIR-Digital-Object-Client-Framework-Implementation;2024-05-06T00:00:00Z;1;1
19;2024-05-07;FAIR-DO-Lab;2024-04-22T00:00:00Z;1;1
19;2024-05-07;FAIR-DO-Lab;2024-04-29T00:00:00Z;10;4
19;2024-05-07;FAIR-DO-Lab;2024-05-06T00:00:00Z;1;1
19;2024-05-07;fairdo-cookbook;2024-04-29T00:00:00Z;17;2
19;2024-05-07;frontend-collection;2024-04-22T00:00:00Z;35;4
19;2024-05-07;frontend-collection;2024-04-29T00:00:00Z;36;2
19;2024-05-07;gemma-plugin;2024-04-22T00:00:00Z;1;1
19;2024-05-07;generic-message-consumer;2024-04-22T00:00:00Z;8;1
19;2024-05-07;generic-message-consumer;2024-04-29T00:00:00Z;2;1
19;2024-05-07;generic-message-consumer;2024-05-06T00:00:00Z;10;1
19;2024-05-07;INCLDE;2024-04-29T00:00:00Z;9;1
19;2024-05-07;indexing-service;2024-04-22T00:00:00Z;15;2
19;2024-05-07;JaMMaTo;2024-04-29T00:00:00Z;1;1
19;2024-05-07;kitdm-pycli;2024-04-22T00:00:00Z;24;3
19;2024-05-07;kitdm-pycli;2024-04-29T00:00:00Z;5;1
19;2024-05-07;mapping-service;2024-04-22T00:00:00Z;4;1
19;2024-05-07;mapping-service;2024-04-29T00:00:00Z;13;2
19;2024-05-07;MDMC-NEP-top-level-ontology;2024-04-29T00:00:00Z;1;1
19;2024-05-07;MDMC-NEP-top-level-ontology;2024-05-06T00:00:00Z;4;1
19;2024-05-07;metadata-editor;2024-04-22T00:00:00Z;4;4
19;2024-05-07;metadata-editor;2024-04-29T00:00:00Z;27;7
19;2024-05-07;metadata-editor;2024-05-06T00:00:00Z;1;1
19;2024-05-07;Metadata-Schemas-for-Materials-Science;2024-04-22T00:00:00Z;9;2
19;2024-05-07;Metadata-Schemas-for-Materials-Science;2024-04-29T00:00:00Z;147;4
19;2024-05-07;Metadata-Schemas-for-Materials-Science;2024-05-06T00:00:00Z;42;3
19;2024-05-07;metastore2;2024-04-22T00:00:00Z;9;5
19;2024-05-07;metastore2;2024-04-29T00:00:00Z;91;6
19;2024-05-07;metastore2;2024-05-06T00:00:00Z;43;3
19;2024-05-07;nexus-publish-example;2024-04-22T00:00:00Z;2;2
19;2024-05-07;nexus-publish-example;2024-04-29T00:00:00Z;11;1
19;2024-05-07;pid-component;2024-04-29T00:00:00Z;2;2
19;2024-05-07;pit-service;2024-04-22T00:00:00Z;1;1
19;2024-05-07;pit-service;2024-04-29T00:00:00Z;34;4
19;2024-05-07;pit-service;2024-05-06T00:00:00Z;4;2
19;2024-05-07;repo-core;2024-04-22T00:00:00Z;119;2
19;2024-05-07;repo-core;2024-05-06T00:00:00Z;5;2
19;2024-05-07;ro-crate-java;2024-04-22T00:00:00Z;192;7
19;2024-05-07;ro-crate-java;2024-04-29T00:00:00Z;77;3
19;2024-05-07;ro-crate-java;2024-05-06T00:00:00Z;228;6
19;2024-05-07;SEM-Mapping-Tool;2024-04-29T00:00:00Z;10;2
19;2024-05-07;service-base;2024-04-22T00:00:00Z;71;1
19;2024-05-07;service-base;2024-04-29T00:00:00Z;7;2
19;2024-05-07;service-base;2024-05-06T00:00:00Z;55;2
19;2024-05-07;visualization-graph-web-component;2024-04-22T00:00:00Z;43;2
19;2024-05-07;visualization-graph-web-component;2024-04-29T00:00:00Z;126;2
19;2024-05-07;visualization-graph-web-component;2024-05-06T00:00:00Z;2;2
19;2024-05-07;wap-server;2024-04-22T00:00:00Z;12;1
19;2024-05-07;wap-server;2024-04-29T00:00:00Z;21;4
19;2024-05-07;wap-server;2024-05-06T00:00:00Z;2;1
19;2024-05-07;webpage;2024-04-22T00:00:00Z;5;1
